Sample_ID,Entropy_S,Complexity,Time_Step
GSM131331,13.454090505981585,11222.375773935046,0
GSM131332,13.452681662648839,11211.422071622554,1
GSM131333,13.455128127392015,11230.45008318594,2
GSM131334,13.45872164226268,11258.458145205499,3
GSM131335,13.455070118619954,11229.998531400228,4
GSM131336,13.449789284047764,11188.96743508222,5
GSM131337,13.454904092670713,11228.70625282758,6
GSM131338,13.458330349637675,11255.405002196672,7
GSM131339,13.453499426902003,11217.778854495391,8
GSM131340,13.453329653187186,11216.458844458315,9
GSM131341,13.456475435264096,11240.942904471942,10
GSM131342,13.45633599825454,11239.856515681415,11
GSM131343,13.450752507892465,11196.440309494641,12
GSM131344,13.452944996489887,11213.4686692853,13
GSM131345,13.457032087685123,11245.280969845895,14
GSM131346,13.45975314558768,11266.510636738982,15
GSM131347,13.455374568323599,11232.368630695802,16
GSM131348,13.451446611873479,11201.828394548922,17
GSM131349,13.45582712658258,11235.89265928125,18
GSM131350,13.45839700157406,11255.925009437658,19
GSM131351,13.448895343114188,11182.036533205597,20
GSM131352,13.451743364292156,11204.13277037215,21
GSM131353,13.460637290433016,11273.417349507365,22
GSM131354,13.455355192951028,11232.217781168001,23
GSM131355,13.457226223337718,11246.794288176552,24
GSM131356,13.456851528231978,11243.873662916221,25
GSM131357,13.45549377201411,11233.296751381711,26
GSM131358,13.457912554688587,11252.145983212818,27
